Model,File,Packet Size,Accuracy,Macro F1 Score,Micro F1 Score,Weighted F1 Score,Macro Precision,Micro Precision,Cohen's Kappa,Precision_0,Recall_0,F1_0,Precision_1,Recall_1,F1_1,Precision_macro avg,Recall_macro avg,F1_macro avg,Precision_weighted avg,Recall_weighted avg,F1_weighted avg
Random Forest,combined_10_packets.csv,10,0.959,0.958,0.959,0.959,0.958,0.959,0.916,0.967,0.963,0.965,0.949,0.954,0.951,0.958,0.958,0.958,0.959,0.959,0.959
Random Forest,combined_10_packets.csv,10,0.959,0.958,0.959,0.959,0.958,0.959,0.916,0.967,0.963,0.965,0.949,0.954,0.951,0.958,0.958,0.958,0.959,0.959,0.959
Random Forest,combined_50_packets.csv,50,0.972,0.971,0.972,0.972,0.971,0.972,0.941,0.973,0.978,0.976,0.969,0.963,0.966,0.971,0.970,0.971,0.972,0.972,0.972
Random Forest,combined_100_packets.csv,100,0.981,0.981,0.981,0.981,0.982,0.981,0.962,0.978,0.990,0.984,0.986,0.969,0.977,0.982,0.980,0.981,0.981,0.981,0.981
Random Forest,combined_250_packets.csv,250,0.983,0.983,0.983,0.983,0.984,0.983,0.966,0.982,0.990,0.986,0.986,0.974,0.980,0.984,0.982,0.983,0.983,0.983,0.983
Random Forest,combined_500_packets.csv,500,0.985,0.984,0.985,0.985,0.985,0.985,0.968,0.982,0.992,0.987,0.988,0.975,0.981,0.985,0.983,0.984,0.985,0.985,0.985
Random Forest,combined_750_packets.csv,750,0.984,0.983,0.984,0.984,0.984,0.984,0.967,0.982,0.991,0.986,0.987,0.974,0.981,0.984,0.982,0.983,0.984,0.984,0.984
Random Forest,combined_1000_packets.csv,1000,0.987,0.987,0.987,0.987,0.987,0.987,0.974,0.990,0.988,0.989,0.984,0.986,0.985,0.987,0.987,0.987,0.987,0.987,0.987
Random Forest,combined_5000_packets.csv,5000,0.987,0.986,0.987,0.987,0.986,0.987,0.972,0.992,0.985,0.988,0.979,0.989,0.984,0.986,0.987,0.986,0.987,0.987,0.987
Random Forest,combined_10000_packets.csv,10000,0.982,0.982,0.982,0.982,0.980,0.982,0.963,0.992,0.977,0.984,0.968,0.989,0.979,0.980,0.983,0.982,0.982,0.982,0.982
