Model,File,Packet Size,Accuracy,Macro F1 Score,Micro F1 Score,Weighted F1 Score,Macro Precision,Micro Precision,Cohen's Kappa,Precision_0,Recall_0,F1_0,Precision_1,Recall_1,F1_1,Precision_macro avg,Recall_macro avg,F1_macro avg,Precision_weighted avg,Recall_weighted avg,F1_weighted avg,max 1
Random Forest,combined_10_packets.csv,10,0.767,0.76,0.767,0.765,0.766,0.767,0.521,0.768,0.834,0.8,0.764,0.682,0.721,0.766,0.758,0.76,0.766,0.767,0.765,0.0
Random Forest,combined_50_packets.csv,50,0.797,0.79,0.797,0.795,0.803,0.797,0.582,0.781,0.885,0.83,0.826,0.687,0.75,0.803,0.786,0.79,0.801,0.797,0.795,0.0
Random Forest,combined_100_packets.csv,100,0.813,0.805,0.813,0.81,0.824,0.813,0.614,0.788,0.91,0.845,0.859,0.691,0.766,0.824,0.801,0.805,0.82,0.813,0.81,0.0
Random Forest,combined_250_packets.csv,250,0.818,0.81,0.818,0.814,0.829,0.818,0.622,0.79,0.917,0.849,0.868,0.692,0.77,0.829,0.805,0.81,0.825,0.818,0.814,0.0
Random Forest,combined_500_packets.csv,500,0.846,0.84,0.846,0.844,0.855,0.846,0.683,0.821,0.927,0.871,0.89,0.744,0.81,0.855,0.835,0.84,0.851,0.846,0.844,0.0
Random Forest,combined_750_packets.csv,750,0.872,0.868,0.872,0.87,0.881,0.872,0.737,0.845,0.943,0.892,0.916,0.782,0.844,0.881,0.863,0.868,0.877,0.872,0.87,1.0
Random Forest,combined_1000_packets.csv,1000,0.884,0.881,0.884,0.883,0.889,0.884,0.762,0.865,0.938,0.9,0.912,0.815,0.861,0.889,0.877,0.881,0.886,0.884,0.883,0.0
Random Forest,combined_5000_packets.csv,5000,0.944,0.943,0.944,0.944,0.942,0.944,0.886,0.958,0.94,0.949,0.926,0.948,0.937,0.942,0.944,0.943,0.944,0.944,0.944,16.0
Random Forest,combined_10000_packets.csv,10000,0.937,0.937,0.937,0.937,0.935,0.937,0.873,0.961,0.925,0.943,0.91,0.953,0.931,0.935,0.939,0.937,0.938,0.937,0.937,2.0
,,Best,[5000],[5000],[5000],[5000],[5000],[5000],[5000],[10000],[750],[5000],[5000],[10000],[5000],[5000],[5000],[5000],[5000],[5000],[5000],
